check_id,program_id,opened_date,check_type,severity,affected_records,status,owner,procedure_step
QC0001,UP003,2026-04-04,definition mismatch,Medium,143,resolved,Program research,duplicate detection
QC0002,UP040,2026-05-09,outlier versus benchmark,Medium,323,resolved,Analyst team,stakeholder signoff
QC0003,UP039,2026-05-14,unit conversion,Critical,273,open,Data operations,duplicate detection
QC0004,UP010,2026-05-09,stale value,Medium,105,open,Data operations,unit normalization
QC0005,UP024,2026-05-16,duplicate program row,Low,181,open,Subject matter expert,source citation review
QC0006,UP040,2026-04-03,outlier versus benchmark,High,48,resolved,Data operations,metric definition check
QC0007,UP014,2026-05-25,outlier versus benchmark,Medium,118,open,Program research,stakeholder signoff
QC0008,UP025,2026-04-03,stale value,Low,217,open,Data operations,metric definition check
QC0009,UP028,2026-04-21,missing source citation,Medium,416,in review,Subject matter expert,source citation review
QC0010,UP022,2026-05-12,missing source citation,Critical,361,resolved,Analyst team,unit normalization
QC0011,UP039,2026-04-29,duplicate program row,Low,387,resolved,Data operations,stakeholder signoff
QC0012,UP003,2026-04-14,stale value,High,354,open,Subject matter expert,source citation review
QC0013,UP014,2026-04-08,duplicate program row,High,340,in review,Subject matter expert,source citation review
QC0014,UP032,2026-05-20,stale value,High,304,in review,Subject matter expert,stakeholder signoff
QC0015,UP029,2026-05-24,definition mismatch,Critical,330,resolved,Subject matter expert,source citation review
QC0016,UP013,2026-04-02,stale value,Critical,313,open,Analyst team,metric definition check
QC0017,UP024,2026-04-06,definition mismatch,Low,288,resolved,Data operations,source citation review
QC0018,UP041,2026-03-29,duplicate program row,High,152,open,Data operations,unit normalization
QC0019,UP010,2026-05-17,missing source citation,Medium,31,open,Analyst team,metric definition check
QC0020,UP035,2026-04-03,definition mismatch,Low,397,resolved,Subject matter expert,unit normalization
QC0021,UP034,2026-03-31,outlier versus benchmark,High,413,in review,Analyst team,metric definition check
QC0022,UP034,2026-05-22,unit conversion,Medium,181,open,Subject matter expert,stakeholder signoff
QC0023,UP013,2026-05-20,missing source citation,Critical,255,open,Data operations,stakeholder signoff
QC0024,UP024,2026-04-30,duplicate program row,Critical,387,open,Data operations,unit normalization
QC0025,UP005,2026-04-03,stale value,High,41,resolved,Data operations,stakeholder signoff
QC0026,UP033,2026-05-10,outlier versus benchmark,Medium,198,open,Analyst team,metric definition check
QC0027,UP025,2026-05-20,definition mismatch,Medium,428,open,Data operations,unit normalization
QC0028,UP038,2026-05-14,stale value,Critical,317,resolved,Program research,unit normalization
QC0029,UP018,2026-05-16,stale value,Medium,255,open,Data operations,unit normalization
QC0030,UP019,2026-03-30,outlier versus benchmark,Medium,286,open,Analyst team,stakeholder signoff
QC0031,UP009,2026-04-23,unit conversion,Low,198,in review,Data operations,duplicate detection
QC0032,UP006,2026-04-25,outlier versus benchmark,Low,412,in review,Program research,source citation review
QC0033,UP017,2026-04-12,missing source citation,Low,123,open,Data operations,unit normalization
QC0034,UP030,2026-03-31,unit conversion,High,182,in review,Subject matter expert,source citation review
QC0035,UP004,2026-04-03,duplicate program row,High,323,resolved,Data operations,stakeholder signoff
QC0036,UP030,2026-05-09,missing source citation,High,136,open,Program research,unit normalization
QC0037,UP031,2026-04-18,definition mismatch,Medium,59,in review,Data operations,unit normalization
QC0038,UP037,2026-05-11,definition mismatch,Medium,189,in review,Analyst team,unit normalization
QC0039,UP033,2026-05-12,definition mismatch,Low,455,in review,Analyst team,metric definition check
QC0040,UP027,2026-05-25,stale value,Medium,95,open,Analyst team,stakeholder signoff
