update_id,program_id,data_tool,update_type,records_pending,completeness_pct,blocker,recommended_next_step
UPD0001,UP013,DSM Benchmark,populate new row,259,100,none,update tool after citation check
UPD0002,UP019,Utility Data Exchange,reconcile source conflict,233,100,missing citation,refresh benchmark comparison
UPD0003,UP002,Measure Insights,populate new row,186,73.2,late client file,update tool after citation check
UPD0004,UP014,Research Library,publish summary,122,90.4,missing citation,hold for SME review
UPD0005,UP038,Measure Insights,populate new row,48,81.3,missing citation,hold for SME review
UPD0006,UP013,DSM Benchmark,refresh stale field,110,100,conflicting sources,refresh benchmark comparison
UPD0007,UP004,Utility Data Exchange,populate new row,21,68.2,late client file,publish with caveat
UPD0008,UP028,DSM Benchmark,populate new row,70,89.8,SME review,send source question to owner
UPD0009,UP006,Program Tracker,reconcile source conflict,200,90.3,none,publish with caveat
UPD0010,UP036,Utility Data Exchange,populate new row,118,83.1,none,update tool after citation check
UPD0011,UP002,Measure Insights,publish summary,146,65.5,late client file,hold for SME review
UPD0012,UP035,DSM Benchmark,refresh stale field,8,95.5,none,hold for SME review
UPD0013,UP024,Research Library,publish summary,229,97.1,none,send source question to owner
UPD0014,UP023,Research Library,refresh stale field,135,85.7,none,publish with caveat
UPD0015,UP017,Utility Data Exchange,publish summary,227,94.4,late client file,publish with caveat
UPD0016,UP012,Measure Insights,publish summary,233,97.7,SME review,publish with caveat
UPD0017,UP016,Research Library,document definition,104,100,none,publish with caveat
UPD0018,UP022,DSM Benchmark,reconcile source conflict,64,84.3,conflicting sources,refresh benchmark comparison
UPD0019,UP039,DSM Benchmark,document definition,222,73.1,missing citation,update tool after citation check
UPD0020,UP026,Program Tracker,reconcile source conflict,114,68.2,missing citation,update tool after citation check
UPD0021,UP036,Utility Data Exchange,refresh stale field,109,74.9,late client file,hold for SME review
UPD0022,UP024,Research Library,document definition,138,98.8,conflicting sources,update tool after citation check
UPD0023,UP030,Measure Insights,reconcile source conflict,237,90.7,conflicting sources,refresh benchmark comparison
UPD0024,UP021,Measure Insights,document definition,64,95.3,late client file,publish with caveat
UPD0025,UP019,Utility Data Exchange,publish summary,186,78.8,none,publish with caveat
UPD0026,UP038,Measure Insights,populate new row,243,66.1,none,update tool after citation check
UPD0027,UP042,Research Library,publish summary,127,97.2,conflicting sources,hold for SME review
UPD0028,UP006,Program Tracker,populate new row,74,77.8,none,refresh benchmark comparison
UPD0029,UP028,DSM Benchmark,document definition,68,92.2,missing citation,send source question to owner
UPD0030,UP039,DSM Benchmark,publish summary,52,85.0,SME review,hold for SME review
UPD0031,UP034,Program Tracker,populate new row,117,63.4,none,send source question to owner
UPD0032,UP028,DSM Benchmark,reconcile source conflict,42,86.6,none,update tool after citation check
UPD0033,UP042,Research Library,refresh stale field,165,100,none,send source question to owner
UPD0034,UP013,DSM Benchmark,document definition,69,100,none,publish with caveat
UPD0035,UP030,Measure Insights,refresh stale field,169,85.0,none,update tool after citation check
UPD0036,UP010,Research Library,refresh stale field,183,91.0,conflicting sources,send source question to owner
UPD0037,UP020,Measure Insights,reconcile source conflict,151,79.1,late client file,publish with caveat
UPD0038,UP001,Utility Data Exchange,publish summary,184,79.0,missing citation,update tool after citation check
UPD0039,UP015,Program Tracker,refresh stale field,259,77.5,none,refresh benchmark comparison
UPD0040,UP011,Measure Insights,reconcile source conflict,54,90.8,none,send source question to owner
UPD0041,UP040,DSM Benchmark,refresh stale field,21,84.9,missing citation,send source question to owner
UPD0042,UP019,Utility Data Exchange,reconcile source conflict,115,94.9,none,hold for SME review
UPD0043,UP010,Research Library,populate new row,234,92.8,none,hold for SME review
UPD0044,UP032,Measure Insights,populate new row,89,74.0,conflicting sources,send source question to owner
UPD0045,UP036,Utility Data Exchange,populate new row,217,82.6,conflicting sources,refresh benchmark comparison
UPD0046,UP017,Utility Data Exchange,document definition,4,91.0,none,hold for SME review
UPD0047,UP004,Utility Data Exchange,reconcile source conflict,13,63.8,conflicting sources,send source question to owner
UPD0048,UP022,DSM Benchmark,publish summary,175,77.6,none,refresh benchmark comparison
UPD0049,UP017,Utility Data Exchange,reconcile source conflict,184,96.0,late client file,publish with caveat
UPD0050,UP038,Measure Insights,publish summary,189,79.8,none,publish with caveat
UPD0051,UP037,Program Tracker,document definition,206,92.9,none,publish with caveat
