program_id,program_name,region,utility_type,program_area,customer_class,data_tool,owner,update_frequency,baseline_records,completeness_pct,last_verified_date,annual_mwh_savings,participant_count
UP001,Pacific Residential weatherization,Midwest,dual fuel,Residential weatherization,residential,Utility Data Exchange,Program research,quarterly,1092,67.0,2026-03-14,140982,5013
UP002,Midwest Small business direct install,Northeast,dual fuel,Small business direct install,industrial,Measure Insights,Subject matter expert,quarterly,1012,73.3,2026-04-28,165884,62763
UP003,Midwest Income-qualified efficiency,Midwest,municipal,Income-qualified efficiency,residential,Program Tracker,Subject matter expert,quarterly,1348,91.7,2026-01-22,109789,28122
UP004,Canada Transportation electrification,Mountain,gas,Transportation electrification,mixed,Utility Data Exchange,Analyst team,monthly,3643,68.8,2026-05-16,132608,331
UP005,Pacific Small business direct install,Pacific,municipal,Small business direct install,commercial,DSM Benchmark,Analyst team,quarterly,695,67.1,2026-05-13,166494,30398
UP006,Northeast Residential weatherization,Pacific,cooperative,Residential weatherization,residential,Program Tracker,Analyst team,monthly,2963,87.8,2026-03-05,129853,21715
UP007,South Residential weatherization,Midwest,electric,Residential weatherization,residential,Measure Insights,Data operations,quarterly,2482,82.5,2026-04-09,28726,64320
UP008,Canada Residential weatherization,Northeast,cooperative,Residential weatherization,industrial,Measure Insights,Program research,monthly,1238,83.3,2026-05-20,105738,36643
UP009,Canada Small business direct install,Northeast,electric,Small business direct install,mixed,Program Tracker,Subject matter expert,quarterly,2032,99,2026-04-10,105128,13001
UP010,Northeast Transportation electrification,Midwest,electric,Transportation electrification,industrial,Research Library,Data operations,weekly,2769,86.4,2026-04-04,79107,67655
UP011,Northeast Small business direct install,South,gas,Small business direct install,residential,Measure Insights,Program research,weekly,4099,89.9,2026-05-14,143691,18061
UP012,Northeast Small business direct install,Northeast,dual fuel,Small business direct install,industrial,Measure Insights,Program research,monthly,1972,85.3,2026-02-28,161868,28719
UP013,Pacific Heat pump adoption,South,electric,Heat pump adoption,mixed,DSM Benchmark,Data operations,weekly,3588,95.9,2026-01-25,32414,33231
UP014,Mountain Demand response,Mountain,dual fuel,Demand response,commercial,Research Library,Data operations,monthly,3938,85.5,2026-04-15,31538,62334
UP015,Northeast Commercial lighting,Midwest,gas,Commercial lighting,commercial,Program Tracker,Program research,quarterly,1058,78.9,2026-05-10,65522,42948
UP016,Northeast Commercial lighting,Midwest,gas,Commercial lighting,commercial,Research Library,Data operations,quarterly,3078,97.8,2026-03-15,26508,17144
